gene_symbol,present_in_gse163634
A1BG,False
A1BG-AS1,True
A1CF,True
A2M,True
A2M-AS1,True
A2ML1,True
A2ML1-AS1,True
A2ML1-AS2,True
A3GALT2,True
A4GALT,True
A4GNT,True
AAAS,True
AACS,True
AADAC,True
AADACL2,True
AADACL2-AS1,False
AADACL3,True
AADACL4,True
AADAT,True
AAED1,True
AAGAB,True
AAK1,False
AAMDC,True
AAMP,True
AANAT,True
AAR2,True
AARD,True
AARS,True
AARS2,True
AARSD1,False
AASDH,True
AASDHPPT,True
AASS,True
AATBC,False
AATF,True
AATK,True
AB015752.1,False
ABALON,False
ABAT,True
ABCA1,True
ABCA10,False
ABCA12,True
ABCA13,True
ABCA2,True
ABCA3,True
ABCA4,True
ABCA5,False
ABCA6,True
ABCA7,True
ABCA8,True
ABCA9,True
ABCA9-AS1,True
ABCB1,True
ABCB10,True
ABCB11,True
ABCB4,True
ABCB5,True
ABCB6,False
ABCB7,True
ABCB8,True
ABCB9,True
ABCC1,True
ABCC10,True
ABCC11,False
ABCC12,True
ABCC2,True
ABCC3,True
ABCC4,True
ABCC5,True
ABCC5-AS1,True
ABCC6,True
ABCC8,True
ABCC9,True
ABCD1,True
ABCD2,True
ABCD3,True
ABCD4,False
ABCE1,True
ABCF1,True
ABCF2,True
ABCF2.1,False
ABCF3,True
ABCG1,True
ABCG2,True
ABCG4,True
ABCG5,True
ABCG8,True
ABHD1,True
ABHD10,True
ABHD11,True
ABHD12,True
ABHD12B,True
ABHD13,True
ABHD14A,False
ABHD14A-ACY1,False
ABHD14B,False
ABHD15,True
ABHD15-AS1,False
ABHD16A,True
ABHD16B,True
ABHD17A,True
ABHD17B,True
ABHD17C,True
ABHD18,False
ABHD2,True
ABHD3,True
ABHD4,True
ABHD5,True
ABHD6,True
ABHD8,True
ABI1,True
ABI2,True
ABI3,True
ABI3BP,True
ABL1,True
ABL2,True
ABLIM1,True
ABLIM2,True
ABLIM3,True
ABO,False
ABR,True
ABRA,True
ABRACL,True
ABRAXAS1,False
ABRAXAS2,False
ABT1,True
ABTB1,True
ABTB2,True
AC000032.1,False
AC000035.1,False
AC000036.1,False
AC000058.1,False
AC000068.1,False
AC000068.2,False
AC000068.3,False
AC000093.1,False
AC000123.1,False
AC000124.1,True
AC000403.1,False
AC001226.1,False
AC001226.2,False
AC002064.1,False
AC002064.2,False
AC002066.1,True
AC002070.1,True
AC002074.1,False
AC002076.1,False
AC002091.1,False
AC002091.2,False
AC002094.2,False
AC002101.1,False
AC002115.1,False
AC002116.2,False
AC002128.2,False
AC002306.1,True
AC002310.1,False
AC002310.2,False
AC002310.5,False
AC002347.1,False
AC002347.2,False
AC002351.1,False
AC002368.1,False
AC002375.1,False
AC002378.1,False
AC002383.1,False
AC002384.1,False
AC002386.1,True
AC002398.1,False
AC002398.2,False
AC002401.1,True
AC002401.3,False
AC002401.4,False
AC002428.2,False
AC002429.2,False
AC002451.1,True
AC002454.1,True
AC002456.1,False
AC002463.1,False
AC002464.1,False
AC002467.1,False
AC002470.1,False
AC002480.2,True
AC002480.3,True
AC002480.4,True
AC002511.1,True
AC002511.2,True
AC002546.1,False
AC002550.1,False
AC002550.2,False
AC002553.1,True
AC002553.2,False
AC002558.2,False
AC002563.1,False
AC002985.1,False
AC003001.1,False
AC003002.2,False
AC003002.3,False
AC003005.2,True
AC003006.1,True
AC003035.1,True
AC003035.2,False
AC003043.1,True
AC003043.2,False
AC003070.1,True
AC003070.2,False
AC003084.1,False
AC003092.1,True
AC003092.2,True
AC003098.1,False
AC003101.1,False
AC003101.2,False
AC003102.1,False
AC003681.1,True
AC003682.1,False
AC003684.1,False
AC003685.1,False
AC003688.2,False
AC003956.1,True
AC003958.2,True
AC003965.1,False
AC003973.2,False
AC003975.1,False
AC003984.1,True
AC003985.2,False
AC003986.1,False
AC003986.2,False
AC003986.3,False
AC003988.1,True
AC003991.1,False
AC003991.2,False
AC004012.1,True
AC004023.1,False
AC004034.1,False
AC004039.1,False
AC004053.1,True
AC004067.1,False
AC004069.1,True
AC004076.1,False
AC004076.2,False
AC004080.2,False
AC004080.3,False
AC004112.1,False
AC004130.1,False
AC004147.2,False
AC004148.1,False
AC004148.2,False
AC004156.1,False
AC004158.1,False
AC004160.2,False
AC004217.1,False
AC004221.1,False
AC004223.2,False
AC004223.3,False
AC004223.4,False
AC004231.1,False
AC004232.2,False
AC004233.2,False
AC004233.3,False
AC004233.4,False
AC004241.1,False
AC004241.2,False
AC004253.1,False
AC004257.1,True
AC004263.1,False
AC004264.1,False
AC004381.1,False
AC004408.1,False
AC004448.1,False
AC004448.2,True
AC004448.3,False
AC004449.1,False
AC004466.1,True
AC004466.3,False
AC004470.1,False
AC004471.1,False
AC004471.2,False
AC004477.2,False
AC004477.3,False
AC004485.1,False
AC004490.1,True
AC004492.1,True
AC004494.1,False
AC004520.1,True
AC004522.2,False
AC004528.1,True
AC004528.2,False
AC004540.1,False
AC004540.2,False
AC004542.1,False
AC004542.2,False
AC004543.1,True
AC004551.1,False
AC004554.2,False
AC004556.1,False
AC004584.1,False
AC004585.1,False
AC004593.1,False
AC004593.3,True
AC004596.1,False
AC004597.1,False
AC004637.1,True
AC004672.1,False
AC004674.1,False
AC004687.1,False
AC004702.1,False
AC004704.1,False
AC004706.1,False
AC004707.1,False
AC004754.1,False
AC004771.1,False
AC004771.2,False
AC004771.3,False
AC004771.4,False
AC004771.5,False
AC004775.1,False
AC004784.1,False
AC004801.3,False
AC004801.4,False
AC004801.5,False
AC004801.6,False
AC004803.1,False
AC004812.2,False
AC004816.1,False
AC004816.2,False
AC004817.1,True
AC004817.2,False
AC004817.3,False
AC004817.4,False
AC004824.1,False
AC004825.2,False
AC004832.1,False
AC004832.3,False
AC004832.6,False
AC004834.1,False
AC004835.1,False
AC004837.2,False
AC004837.3,False
AC004839.1,False
AC004846.1,False
AC004846.2,False
AC004852.2,False
AC004854.2,False
AC004862.1,False
AC004865.2,False
AC004870.3,False
AC004870.4,True
