leiden,rank,gene,score,logfoldchange,pvals_adj
0,1,IFITM2,101.11827087402344,4.839868545532227,0.0
0,2,IFITM1,99.7782211303711,4.680142402648926,0.0
0,3,TRDV1,99.63664245605469,6.68834114074707,0.0
0,4,IL32,98.78186798095703,5.444851875305176,0.0
0,5,B2M,95.45384216308594,3.1767618656158447,0.0
0,6,TRGV5,88.80474853515625,9.13485050201416,0.0
0,7,HLA-E,84.88562774658203,3.0768074989318848,0.0
0,8,HLA-A,82.22691345214844,2.8112704753875732,0.0
0,9,CD52,81.39568328857422,3.646167278289795,0.0
0,10,KRT1,80.3563232421875,5.957375526428223,0.0
0,11,CD3E,79.8597183227539,2.808004140853882,0.0
0,12,PTPRCAP,79.81981658935547,2.8722972869873047,0.0
0,13,SH3BGRL3,79.13203430175781,2.4524648189544678,0.0
0,14,HCST,78.08306121826172,3.2569169998168945,0.0
0,15,LSP1,77.61884307861328,3.309682607650757,0.0
0,16,RAC2,77.5324935913086,2.66654372215271,0.0
0,17,TMSB4X,75.75090789794922,2.471923589706421,0.0
0,18,HLA-C,75.59778594970703,2.580462694168091,0.0
0,19,TRDC,75.209716796875,4.012789726257324,0.0
0,20,AHNAK,74.90089416503906,4.196758270263672,0.0
1,1,MT-ND4L,85.56158447265625,3.196481227874756,0.0
1,2,MT-CO2,84.9912109375,3.1366586685180664,0.0
1,3,MT-CO1,84.55884552001953,2.929230213165283,0.0
1,4,MT-CYB,83.747802734375,3.0210909843444824,0.0
1,5,MT-CO3,83.62749481201172,2.9945387840270996,0.0
1,6,MT-ND1,82.86853790283203,2.9958503246307373,0.0
1,7,MT-ND5,82.76343536376953,2.990147829055786,0.0
1,8,MT-ATP6,81.07599639892578,2.9249765872955322,0.0
1,9,MT-ATP8,78.4366455078125,2.8798351287841797,0.0
1,10,MT-ND3,75.4177017211914,2.69860577583313,0.0
1,11,MT-ND2,74.32360076904297,2.618771553039551,0.0
1,12,MT-ND4,69.51964569091797,2.324326992034912,0.0
1,13,MT-ND6,63.12562561035156,3.118616819381714,0.0
1,14,MALAT1,42.26791000366211,1.5308538675308228,0.0
1,15,XIST,40.581932067871094,3.878246545791626,0.0
1,16,PGGHG,35.840206146240234,3.210935592651367,2.153435694246733e-279
1,17,FUS,27.465267181396484,1.0081374645233154,2.1387273502075855e-164
1,18,NKTR,24.158296585083008,1.6361474990844727,2.3097359870871078e-127
1,19,HES4,19.390756607055664,1.2847791910171509,2.3665862488058065e-82
1,20,SRRM2,18.88051986694336,1.1630836725234985,4.0798904769831728e-78
2,1,TRAF4,78.06969451904297,5.361083507537842,0.0
2,2,EIF1,77.03886413574219,2.2120327949523926,0.0
2,3,HLA-B,68.20399475097656,3.0947580337524414,0.0
2,4,RPS4X,67.34819793701172,2.2083687782287598,0.0
2,5,SLC25A6,66.614501953125,2.2689950466156006,0.0
2,6,COX4I1,60.7278938293457,1.8826675415039062,0.0
2,7,CCNI,59.14286422729492,1.7910693883895874,0.0
2,8,EEF1A1,59.037567138671875,1.848878264427185,0.0
2,9,CHI3L2,57.704681396484375,3.3773000240325928,0.0
2,10,CLEC2B,56.05617141723633,2.862097978591919,0.0
2,11,RPL11,55.54192352294922,1.679474949836731,0.0
2,12,RPL34,54.868919372558594,1.7301170825958252,0.0
2,13,RPS7,54.53071975708008,1.6325697898864746,0.0
2,14,RPL19,54.17851257324219,1.6817549467086792,0.0
2,15,RNF11,53.27852249145508,2.921865463256836,0.0
2,16,RPL17,52.22249984741211,1.673724889755249,0.0
2,17,RPS14,52.06270980834961,1.6174205541610718,0.0
2,18,RPL39,51.46889877319336,1.662191390991211,0.0
2,19,RPS2,51.43576431274414,1.7098478078842163,0.0
2,20,RPL30,51.322574615478516,1.5966432094573975,0.0
3,1,TRBV11-2,85.44558715820312,10.480301856994629,0.0
3,2,PPIA,72.98475646972656,2.665470600128174,0.0
3,3,MAL,72.91365814208984,3.957509994506836,0.0
3,4,CD1E,64.31156921386719,3.7736446857452393,0.0
3,5,TRBC1,63.85015869140625,2.899660110473633,0.0
3,6,CD1B,63.64812088012695,3.777656078338623,0.0
3,7,RPLP0,63.542457580566406,2.0924532413482666,0.0
3,8,RPS4X,63.276241302490234,2.1433191299438477,0.0
3,9,GAPDH,63.253929138183594,2.6821067333221436,0.0
3,10,FAM173A,61.72308349609375,3.904289722442627,0.0
3,11,HES4,61.1639289855957,3.4407918453216553,0.0
3,12,MZT2B,60.2486686706543,2.4726181030273438,0.0
3,13,ZFAS1,60.082149505615234,2.2134363651275635,0.0
3,14,RPS26,59.76992416381836,2.2065324783325195,0.0
3,15,ATP5MC3,59.630043029785156,2.2641446590423584,0.0
3,16,PFN1,57.042449951171875,2.0718331336975098,0.0
3,17,RPS6,56.1253662109375,1.9231083393096924,0.0
3,18,RPLP1,54.84710693359375,1.849747896194458,0.0
3,19,RPS12,54.24924087524414,1.8010787963867188,0.0
3,20,LDHB,53.35880661010742,1.9984294176101685,0.0
4,1,PMAIP1,64.90333557128906,4.00164794921875,0.0
4,2,JUN,64.89796447753906,3.0907764434814453,0.0
4,3,IFI27,63.30229568481445,6.327211380004883,0.0
4,4,UBC,58.196441650390625,1.842779278755188,0.0
4,5,H1FX,55.733924865722656,2.649949073791504,0.0
4,6,ATF3,53.50249099731445,3.6962742805480957,0.0
4,7,GADD45B,53.27302551269531,2.7809197902679443,0.0
4,8,H3F3B,53.1436882019043,1.6136237382888794,0.0
4,9,SCGB3A1,51.82187271118164,4.504166126251221,0.0
4,10,CHI3L2,51.79918670654297,3.362386465072632,0.0
4,11,KLF6,48.55681610107422,2.0639841556549072,0.0
