gsm,sample,timepoint,n_cells,n_genes,metadata_rows,cells_missing_metadata,matrix_nnz
GSM7494285,AML1,DX,2567,23202,2567,0,6096114
GSM7494292,AML10,DX,5279,23539,5279,0,12835956
GSM7494295,AML11,DX,7335,23629,7335,0,16384990
GSM7494326,AML12,DX,7615,23239,7615,0,21325146
GSM7494329,AML13,DX,4410,23308,4410,0,7357301
GSM7494314,AML14,DX,7191,22941,7191,0,19812692
GSM7494266,AML15,DX,6037,23035,6037,0,11295863
GSM7494257,AML16,DX,6757,24343,6757,0,16036171
GSM7494282,AML17,DX,6895,21879,6895,0,13655132
GSM7494324,AML18,DX,7368,22278,7368,0,20865098
GSM7494322,AML19,DX,5179,21967,5179,0,13943211
GSM7494263,AML2,DX,4933,23624,4933,0,10115893
GSM7494277,AML20,DX,6340,21944,6340,0,14881682
GSM7494303,AML21,DX,3983,22548,3983,0,6933246
GSM7494300,AML22,DX,7887,22186,7887,0,12019923
GSM7494309,AML23,DX,1413,22342,1413,0,1865723
GSM7494306,AML24,DX,6992,22030,6992,0,16068052
GSM7494316,AML25,DX,6227,23441,6227,0,13013723
GSM7494319,AML26,DX,7915,23612,7915,0,16232770
GSM7494286,AML27,DX,3936,23375,3936,0,9538732
GSM7494269,AML3,DX,8524,23102,8524,0,20619545
GSM7494298,AML4,DX,4731,23034,4731,0,13739108
GSM7494279,AML5,DX,5278,23088,5278,0,11830170
GSM7494260,AML6,DX,6327,23219,6327,0,13876205
GSM7494271,AML7,DX,36,21030,36,0,51479
GSM7494274,AML8,DX,4376,22139,4376,0,6656961
GSM7494289,AML9,DX,7836,22649,7836,0,19681091
