sample_id,gsm,sample,timepoint,CD4.Naive,B.Cell,CD4.Memory,CD8.Memory,NK,Late.Erythrocyte,CD8.Naive,CD8.Effector,Pre.B.Cell,Early.Erythrocyte,GMP,Plasma,pDC,CLP,HSC,Progenitor,Unknown,Monocytes,CD16.Monocytes,cDC,Early.Basophil
AML16_DX,GSM7494257,AML16,DX,399,299,150,122,108,67,59,37,3,2,2,1,1,1,0,0,0,0,0,0,0
AML16_REL,GSM7494258,AML16,REL,181,170,135,200,83,43,29,8,12,0,10,10,0,11,8,4,3,0,0,0,0
AML16_REM,GSM7494259,AML16,REM,1087,10,425,58,73,1,160,104,1,58,15,0,109,2,35,0,34,2689,158,128,6
AML6_DX,GSM7494260,AML6,DX,402,463,101,30,28,0,51,14,4,7,25,12,0,10,7,7,2,7,2,2,3
AML6_REL,GSM7494261,AML6,REL,119,106,53,17,23,1,4,0,1,3,2,1,0,0,2,1,0,1,1,0,0
AML6_REM,GSM7494262,AML6,REM,505,2,191,98,72,522,158,61,14,183,158,4,59,47,11,28,5,1310,42,118,3
AML2_DX,GSM7494263,AML2,DX,28,30,23,14,9,63,3,5,0,11,4,0,0,0,1,1,1,18,0,0,0
AML2_REL,GSM7494264,AML2,REL,124,131,36,43,25,20,13,8,18,8,1,0,1,10,9,8,0,7,1,0,0
AML2_REM,GSM7494265,AML2,REM,205,0,54,42,50,393,86,10,12,66,127,0,38,77,46,37,2,529,38,24,4
AML15_DX,GSM7494266,AML15,DX,218,121,99,109,158,53,42,65,0,2,5,5,0,2,1,0,0,6,7,0,0
AML15_REL,GSM7494267,AML15,REL,131,272,115,197,221,127,24,10,160,4,1,2,2,22,2,1,3,10,7,0,0
AML15_REM,GSM7494268,AML15,REM,323,2,127,105,44,277,35,86,0,28,119,5,53,59,179,48,4,255,13,46,0
AML3_DX,GSM7494269,AML3,DX,120,52,83,67,79,11,48,16,0,5,12,0,0,0,13,4,17,3,0,5,1
AML3_REM,GSM7494270,AML3,REM,489,1,154,105,124,587,83,44,44,319,72,0,47,106,7,21,1,394,33,37,1
AML7_DX,GSM7494271,AML7,DX,20,6,1,0,1,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0
AML7_REL,GSM7494272,AML7,REL,182,64,93,45,47,36,31,20,0,10,1,1,0,0,6,1,0,7,2,0,0
AML7_REM,GSM7494273,AML7,REM,543,11,232,83,82,223,61,53,7,58,19,1,60,25,84,23,3,562,16,69,2
AML8_DX,GSM7494274,AML8,DX,113,12,16,1,2,69,4,1,0,5,5,0,0,1,1,8,0,0,0,0,0
