axis,gene,coefficient
pc1,A1BG-AS1,-0.0004403326565836714
pc1,A1CF,2.1107927691412645e-06
pc1,A2M,-5.8678673051118686e-05
pc1,A2M-AS1,0.0007357271565804841
pc1,A2ML1,1.7042099038915222e-05
pc1,A2ML1-AS1,1.1108924425463635e-06
pc1,A2ML1-AS2,3.0658083827562264e-06
pc1,A3GALT2,2.5578844810433986e-06
pc1,A4GALT,0.00021594365736202502
pc1,A4GNT,-3.4010526235987605e-06
pc1,AAAS,-6.760349186444312e-06
pc1,AACS,-0.0003388161873597686
pc1,AADAC,-6.086291755996585e-06
pc1,AADACL2,0.0
pc1,AADACL3,0.0
pc1,AADACL4,0.0
pc1,AADAT,-0.000267010353828371
pc1,AAED1,9.944578691674434e-05
pc1,AAGAB,0.00026081447716824334
pc1,AAMDC,6.144614417475865e-05
pc1,AAMP,-0.00012686229808336837
pc1,AANAT,4.939648920866111e-05
pc1,AAR2,-0.0007532829392146764
pc1,AARD,-6.728247264440628e-06
pc1,AARS,-9.568592441591498e-05
pc1,AARS2,-0.00010793657008820916
pc1,AASDH,-0.00035360009593964287
pc1,AASDHPPT,-0.00010562887545202752
pc1,AASS,0.00013462913132459978
pc1,AATF,-0.0001361527314810026
pc1,AATK,-0.00010036032793317292
pc1,ABAT,0.00026386863770761485
pc1,ABCA1,0.00020168541303269922
pc1,ABCA12,-1.4504415430603106e-05
pc1,ABCA13,4.828981251379626e-05
pc1,ABCA2,0.0007910365848963971
pc1,ABCA3,-8.629602949016145e-05
pc1,ABCA4,2.1599303879811208e-05
pc1,ABCA6,0.00042921810055066354
pc1,ABCA7,0.0002593743458123386
pc1,ABCA8,3.408104563256791e-05
pc1,ABCA9,0.0003918004423616425
pc1,ABCA9-AS1,5.455911027152093e-05
pc1,ABCB1,-0.000310910705998656
pc1,ABCB10,5.272062381943514e-05
pc1,ABCB11,2.0753040787916575e-05
pc1,ABCB4,-0.00033320176991032515
pc1,ABCB5,0.00014028817793162662
pc1,ABCB7,-9.480045716152675e-05
pc1,ABCB8,-8.775569656764546e-05
pc1,ABCB9,-4.403639589465619e-05
pc1,ABCC1,0.0003778255085983784
pc1,ABCC10,-0.00026546900177628724
pc1,ABCC12,0.0
pc1,ABCC2,6.818925332110123e-06
pc1,ABCC3,-0.0001337475820992331
pc1,ABCC4,-0.000118936719989798
pc1,ABCC5,-7.506623332571906e-05
pc1,ABCC5-AS1,0.0
pc1,ABCC6,0.0003855818671440972
pc1,ABCC8,-4.193763149278325e-05
pc1,ABCC9,-2.300363836483022e-05
pc1,ABCD1,-0.00011041412855863297
pc1,ABCD2,9.116339555585533e-05
pc1,ABCD3,-7.063636575894489e-05
pc1,ABCE1,-0.0002454887711431434
pc1,ABCF1,-0.0002095012117603195
pc1,ABCF2,0.00011932176559156484
pc1,ABCF3,-0.0003189285719089516
pc1,ABCG1,-0.00042615925277400204
pc1,ABCG2,0.00046639946795204034
pc1,ABCG4,3.803682135649977e-05
pc1,ABCG5,-7.115056511443285e-06
pc1,ABCG8,-8.968818090192496e-05
