axis,gene,coefficient
ilr_stem_vs_committed,A1BG-AS1,-0.00026665814331369925
ilr_stem_vs_committed,A1CF,2.875914463937236e-06
ilr_stem_vs_committed,A2M,3.150539700621945e-05
ilr_stem_vs_committed,A2M-AS1,-5.4504945603437036e-05
ilr_stem_vs_committed,A2ML1,1.225430887872347e-05
ilr_stem_vs_committed,A2ML1-AS1,-1.692212091166274e-05
ilr_stem_vs_committed,A2ML1-AS2,-5.143835653245582e-06
ilr_stem_vs_committed,A3GALT2,-7.656960210170352e-06
ilr_stem_vs_committed,A4GALT,0.0008521068942541135
ilr_stem_vs_committed,A4GNT,9.432806351146021e-08
ilr_stem_vs_committed,AAAS,-0.0003053517999966199
ilr_stem_vs_committed,AACS,0.0006212082411874753
ilr_stem_vs_committed,AADAC,2.99470251149453e-05
ilr_stem_vs_committed,AADACL2,0.0
ilr_stem_vs_committed,AADACL3,0.0
ilr_stem_vs_committed,AADACL4,0.0
ilr_stem_vs_committed,AADAT,-0.00041245779132536615
ilr_stem_vs_committed,AAED1,0.00010234226135219823
ilr_stem_vs_committed,AAGAB,-0.00019944304505110192
ilr_stem_vs_committed,AAMDC,0.000518488338189027
ilr_stem_vs_committed,AAMP,0.00027735369124823415
ilr_stem_vs_committed,AANAT,-1.390879271256546e-06
ilr_stem_vs_committed,AAR2,-0.00023804013117978228
ilr_stem_vs_committed,AARD,0.00012553492733246007
ilr_stem_vs_committed,AARS,-3.768283293223806e-05
ilr_stem_vs_committed,AARS2,3.8589650101001405e-05
ilr_stem_vs_committed,AASDH,4.4263908447697316e-05
ilr_stem_vs_committed,AASDHPPT,-0.00014845385817603422
ilr_stem_vs_committed,AASS,0.0001115429052483604
ilr_stem_vs_committed,AATF,-3.238544268082347e-05
ilr_stem_vs_committed,AATK,-0.0019909532561690857
ilr_stem_vs_committed,ABAT,-0.00043168487511203806
ilr_stem_vs_committed,ABCA1,0.000787042888996931
ilr_stem_vs_committed,ABCA12,1.5814836344226704e-05
ilr_stem_vs_committed,ABCA13,8.014183973970216e-05
ilr_stem_vs_committed,ABCA2,0.0008338533524301707
ilr_stem_vs_committed,ABCA3,-7.956024743074271e-05
ilr_stem_vs_committed,ABCA4,-1.6162324514266135e-05
ilr_stem_vs_committed,ABCA6,0.0005122604469622172
ilr_stem_vs_committed,ABCA7,0.00019753256402426712
ilr_stem_vs_committed,ABCA8,3.872570220047701e-05
ilr_stem_vs_committed,ABCA9,0.00016365592577414202
ilr_stem_vs_committed,ABCA9-AS1,-5.278750953883547e-05
ilr_stem_vs_committed,ABCB1,0.00015151667266001827
ilr_stem_vs_committed,ABCB10,-0.00021443153731340976
ilr_stem_vs_committed,ABCB11,8.39891313813675e-06
ilr_stem_vs_committed,ABCB4,-0.00013132338277239365
ilr_stem_vs_committed,ABCB5,-6.232748084310995e-05
