sample_id,B.Cell,CD16.Monocytes,CD4.Memory,CD4.Naive,CD8.Effector,CD8.Memory,CD8.Naive,CLP,Early.Basophil,Early.Erythrocyte,GMP,HSC,Late.Erythrocyte,Monocytes,NK,Plasma,Pre.B.Cell,Progenitor,Unknown,cDC,pDC
AML10_DX,158,3,11,50,2,11,15,74,23,22,1375,572,0,1137,14,0,132,1559,26,95,0
AML11_DX,123,0,321,904,45,54,385,53,1,39,1265,61,230,135,52,0,52,3605,10,0,0
AML12_DX,117,175,41,30,7,7,7,34,246,432,2045,548,5,2697,38,0,73,1034,15,64,0
AML13_DX,265,12,580,990,33,60,68,33,79,123,322,743,134,294,31,6,2,630,2,2,1
AML14_DX,104,3,66,102,26,94,9,70,134,210,1213,418,101,68,101,4,79,4387,0,2,0
AML15_DX,121,7,101,221,65,109,42,22,17,789,928,1322,63,67,160,6,1,1996,0,0,0
AML16_DX,302,21,157,406,37,123,59,22,117,962,1570,1536,84,158,110,3,10,1070,1,8,1
AML17_DX,117,11,49,107,31,61,17,113,34,81,1216,1730,15,1957,35,0,12,1009,16,253,31
AML18_DX,73,81,46,202,5,17,73,72,23,31,920,1136,2,2939,16,33,56,908,26,535,174
AML19_DX,60,46,28,94,11,18,23,59,59,121,669,1772,21,990,34,1,22,991,11,135,14
AML1_DX,2,14,38,80,9,56,24,839,2,77,166,76,383,326,14,0,231,77,2,42,109
AML20_DX,378,63,40,87,20,36,29,100,122,259,913,830,30,2296,30,10,16,775,28,233,45
AML21_DX,99,1,52,241,16,35,13,49,14,304,407,1169,111,935,21,0,15,275,5,191,30
AML22_DX,49,0,146,269,18,30,29,3,396,431,609,1418,28,1,23,0,0,4437,0,0,0
AML23_DX,206,0,78,418,8,31,18,76,2,24,73,162,7,18,65,0,10,161,0,18,38
AML24_DX,57,8,46,96,48,42,11,96,30,232,1934,1966,105,1120,35,7,4,766,15,342,32
AML25_DX,83,102,76,261,25,40,32,3,322,1313,275,1465,7,789,63,0,0,1352,2,9,8
AML26_DX,50,0,259,92,9,30,8,687,220,313,305,633,38,34,39,5,17,5176,0,0,0
AML27_DX,151,32,61,95,7,34,8,88,33,79,468,524,4,964,80,1,40,552,27,83,605
AML2_DX,30,0,23,28,5,15,3,91,14,17,1934,271,64,1513,9,7,71,611,10,184,33
AML3_DX,58,11,88,121,16,67,48,184,8,22,2078,1430,11,1955,79,0,79,1694,31,442,102
AML4_DX,226,80,43,225,12,7,15,139,3,48,813,688,6,1353,9,1,32,977,7,26,21
AML5_DX,885,8,95,490,15,29,88,2,38,25,1059,15,19,1800,76,0,1,577,54,2,0
AML6_DX,464,8,106,403,14,30,51,20,37,45,2909,377,0,869,28,15,66,577,6,302,0
AML7_DX,6,0,1,20,0,0,0,0,0,1,0,4,0,2,1,0,0,1,0,0,0
AML8_DX,28,0,19,339,6,3,4,13,4,16,441,32,70,11,26,2,7,3351,0,3,1
AML9_DX,244,10,60,200,17,49,34,4,4,13,517,27,6,6332,95,4,2,154,39,25,0
