analysis,response,term,coefficient,alpha_full_fit
full19,ilr_stem_vs_committed,intercept,-2.125362405324025,0.15848931924611143
full19,ilr_stem_vs_committed,PC1,-0.27656447966533193,0.15848931924611143
full19,ilr_stem_vs_committed,PC2,-0.3601556245482761,0.15848931924611143
full19,ilr_stem_vs_committed,is_blood,-0.5142056242064017,0.15848931924611143
full19,ilr_stem_vs_committed,Subgroup_RUNX,2.790667965013435,0.15848931924611143
full19,ilr_stem_vs_committed,Subgroup_CBFB,1.895625092874638,0.15848931924611143
full19,ilr_stem_vs_committed,Subgroup_FLT,3.760491470634395,0.15848931924611143
full19,ilr_stem_vs_committed,Subgroup_Other,2.591868292201536,0.15848931924611143
full19,log_aux_erybaso,intercept,-4.6971176403700365,0.31622776601683794
full19,log_aux_erybaso,PC1,-0.5685792993396287,0.31622776601683794
full19,log_aux_erybaso,PC2,-0.23417307003751692,0.31622776601683794
full19,log_aux_erybaso,is_blood,-1.0619810874664524,0.31622776601683794
full19,log_aux_erybaso,Subgroup_RUNX,2.450616165167,0.31622776601683794
full19,log_aux_erybaso,Subgroup_CBFB,0.4420338735964423,0.31622776601683794
full19,log_aux_erybaso,Subgroup_FLT,2.1125732043905847,0.31622776601683794
full19,log_aux_erybaso,Subgroup_Other,2.631095654703471,0.31622776601683794
