manuscript_item	primary_script	key_output	supplementary_data
Figure 1	figure1_multimodal_therapy_aware_ou_levy_branching_full.py	Figure1_multimodal_therapy_aware_scaffold_full.pdf	NA
Figure 2	figure2_plotting_script_filled.py	Figure2_multimodal_latent_landscape_full.pdf	Supplementary Data 2
Figure 3A	05_plot_figure3A_patient_trajectories.py	Figure3A_patient_trajectories.pdf	Supplementary Data 3
Figure 3B	06_plot_figure3B_group_average_trajectories.py	Figure3B_group_average_trajectories.pdf	Supplementary Data 3
Figure 3C	07_plot_figure3C_displacement_distributions.py	Figure3C_displacement_distributions.pdf	Supplementary Data 3
Figure 3D	09_plot_figure3D_jump_candidates.py	Figure3D_jump_candidates.pdf	Supplementary Data 3
Figure 4A	12_plot_figure4A_theta_by_phase.py	Figure4A_theta_by_phase.pdf	Supplementary Data 4
Figure 4B	13_plot_figure4B_mu_shift.py	Figure4B_mu_shift_from_dx.pdf	Supplementary Data 4
Figure 4C	14a_Figure4C_sigma_eff_by_phase.py	Figure4C_sigma_eff_by_phase.pdf	Supplementary Data 4
Figure 4D	14b_Figure4D_jump_score_by_branch_transition.py	Figure4D_jump_score_by_branch_transition.pdf	Supplementary Data 4
Figure 5	22_assemble_figure5_composite.py	Figure5_multimodal_branch_context.pdf	Supplementary Data 3
Figure 6	31_assemble_figure6_composite.py	Figure6_external_longitudinal_calibration.pdf	Supplementary Data 5
Figure 7	47_assemble_figure7_redesigned_composite.py	Figure7_clinical_translation.pdf	Supplementary Data 6
