gsm,sample,timepoint,sample_id,malignant_cells,HSC,Progenitor,GMP,Monocytes,cDC,CLP,Early.Basophil,Early.Erythrocyte,MonoDC,EryBaso
GSM7494285,AML1,DX,AML1_DX,0,0,0,0,0,0,0,0,0,0,0
GSM7494284,AML1,REM,AML1_REM,3080,301,2373,300,44,7,0,35,7,51,42
GSM7494292,AML10,DX,AML10_DX,5002,570,1557,1371,1131,95,72,23,21,1226,44
GSM7494293,AML10,REL,AML10_REL,2299,738,462,387,438,88,35,97,38,526,135
GSM7494294,AML10,REM,AML10_REM,0,0,0,0,0,0,0,0,0,0,0
GSM7494295,AML11,DX,AML11_DX,5110,50,3599,1265,121,0,13,1,32,121,33
GSM7494296,AML11,REL,AML11_REL,33,1,15,7,3,0,1,5,0,3,5
GSM7494297,AML11,REM,AML11_REM,0,0,0,0,0,0,0,0,0,0,0
GSM7494326,AML12,DX,AML12_DX,7402,547,1033,2043,2697,64,34,246,432,2761,678
GSM7494327,AML12,REL,AML12_REL,3994,1806,961,543,57,3,283,56,230,60,286
GSM7494328,AML12,REM,AML12_REM,0,0,0,0,0,0,0,0,0,0,0
GSM7494329,AML13,DX,AML13_DX,2648,742,625,317,294,2,32,79,115,296,194
GSM7494330,AML13,REL,AML13_REL,5300,1645,2665,324,17,2,51,201,369,19,570
GSM7494331,AML13,REM,AML13_REM,0,0,0,0,0,0,0,0,0,0,0
GSM7494314,AML14,DX,AML14_DX,6472,417,4357,1200,20,2,69,134,184,22,318
GSM7494315,AML14,REM,AML14_REM,0,0,0,0,0,0,0,0,0,0,0
GSM7494266,AML15,DX,AML15_DX,5144,1321,1996,923,61,0,20,17,787,61,804
GSM7494267,AML15,REL,AML15_REL,3948,657,1778,211,4,0,35,19,1187,4,1206
GSM7494268,AML15,REM,AML15_REM,0,0,0,0,0,0,0,0,0,0,0
GSM7494257,AML16,DX,AML16_DX,5506,1536,1070,1568,158,8,21,117,960,166,1077
GSM7494258,AML16,REL,AML16_REL,3569,1092,619,304,53,8,1224,0,45,61,45
GSM7494259,AML16,REM,AML16_REM,0,0,0,0,0,0,0,0,0,0,0
