step	figure	script	cohort	analysis_stage	inputs	outputs	manuscript_role	status	notes
1	Figure 1	figure1_multimodal_therapy_aware_ou_levy_branching.py	Conceptual	Framework schematic		Figure1_multimodal_therapy_aware_scaffold.png; Figure1_multimodal_therapy_aware_scaffold.pdf	Supporting Figure 1 development	active	
2	Figure 1	figure1_multimodal_therapy_aware_ou_levy_branching_full.py	Conceptual	Final framework schematic		Figure1_multimodal_therapy_aware_scaffold_full.png; Figure1_multimodal_therapy_aware_scaffold_full.pdf	Final Figure 1	final	
3	Figure 2	figure2_plotting_script_filled.py	GSE235063	Diagnosis scaffold visualization	dx_primary_training_malignant_frozen_transfer.h5ad; dx_primary_training_malignant.h5ad; dx_primary_training_allcells_frozen_transfer.h5ad; dx_primary_training_allcells.h5ad; dx_ou_malignant_cell_metadata.csv.gz; dx_ou_training_design_matrix_core4.csv; dx_ou_malignant_coarse_states_with_aux.csv; allcells_celltype_fractions_by_sample.csv; dx_ou_malignant_state_fractions_by_sample_full.csv	Figure_2/figure2_output/Figure2_multimodal_latent_landscape.png; Figure_2/figure2_output/Figure2_multimodal_latent_landscape.pdf; Figure_2/figure2_output/figure2_obs_export.csv.gz; Figure_2/figure2_output/figure2_obs_export.csv	Figure 2 analysis and panel generation	active	19 samples retained; 98,692 cells; zero missingness for ecotype, reg_program_score, branch_id, branch_maxprob, and branch_entropy.
4	Figure 2	Figure2_multimodal_latent_landscape.py	GSE235063	Final Figure 2 rendering	Figure_2/figure2_output/figure2_obs_export.csv	Figure2_multimodal_latent_landscape_full.png; Figure2_multimodal_latent_landscape_full.pdf	Final Figure 2	final	
5	Figure 3	longitudinal_cohort_manifest.py	GSE235063	Manifest construction	GSE235063/GSE235063_RAW/	GSE235063/GSE235063_RAW/longitudinal_cohort_manifest_processed.csv	Discovery longitudinal cohort manifest	final	75 processed samples: 27 DX, 24 REM, 24 REL.
6	Figure 3	01_build_longitudinal_malignant_object.py	GSE235063	Longitudinal malignant-object construction	GSE235063/GSE235063_RAW/longitudinal_cohort_manifest_processed.csv	Figure_3/derived/gse235063_longitudinal_malignant_raw.h5ad; Figure_3/derived/gse235063_longitudinal_malignant_sample_qc.tsv; Figure_3/derived/longitudinal_frozen_sample_scores.csv	Primary longitudinal object and QC	final	
7	Figure 3	01a_inspect_gse235063_longitudinal_malignant_sample_qc.tsv.py	GSE235063	QC inspection	Figure_3/derived/gse235063_longitudinal_malignant_sample_qc.tsv		QC support	diagnostic	DX+REL retained: 23 patients; EOI/REM retained: 2 patients.
8	Figure 3	01b_figure3_main_analysis_patients.py	GSE235063	Main cohort selection	Figure_3/derived/gse235063_longitudinal_malignant_sample_qc.tsv	Figure_3/derived/figure3_main_analysis_patients.txt	Defines main Figure 3 cohort	final	EOI/REM samples highlighted: AML1_REM and AML21_REM.
9	Figure 3	01c_inspect_h5ads.py	GSE235063	Object inspection	dx_primary_training_malignant_frozen_transfer.h5ad; Figure_3/derived/gse235063_longitudinal_malignant_raw.h5ad		Diagnostic support	diagnostic	REL-only without DX: AML28; DX-only without REL: AML14; AML1 REM retained while DX absent.
10	Figure 3	01d_inspect1_dx_primary_training_malignant_frozen_transfer.h5ad.py	GSE235063	Frozen-reference inspection	dx_primary_training_malignant_frozen_transfer.h5ad		Diagnostic support	diagnostic	Used to avoid fabricating a projection recipe before the frozen feature definitions were recovered.
11	Figure 3	01e_inspect_dx_ou_ilr_branch_ready.csv.py	GSE235063	Anchor-score inspection	GSE235063/derived_dx_primary_training/dx_ou_ilr_branch_ready.csv		Diagnostic support	diagnostic	The file contains only 19 anchor DX samples; longitudinal scores therefore had to be reconstructed rather than merged.
12	Figure 3	01f_inspect2_dx_primary_training_malignant_frozen_transfer.h5ad.py	GSE235063	Frozen ecotype-PCA inspection	dx_primary_training_malignant_frozen_transfer.h5ad		Diagnostic support	diagnostic	Recovered feature_order, scaler_mean, scaler_scale, and pca_components; malignant coarse-state summary recipe remained to be defined.
13	Figure 3	01g_inspect3_dx_primary_training_malignant_frozen_transfer.h5ad.py	GSE235063	Coarse-state definition recovery	dx_primary_training_malignant_frozen_transfer.h5ad		Diagnostic support	diagnostic	Recovered state_HSC, state_Prog, state_GMP, state_MonoDC, aux_EryBaso, aux_CLP, and normal broad-group ecotype mapping.
14	Figure 3	02_project_longitudinal_cells_into_frozen_scaffold.py	GSE235063	Frozen-space longitudinal projection	Figure_3/derived/gse235063_longitudinal_malignant_raw.h5ad; GSE235063/GSE235063_RAW/longitudinal_cohort_manifest_processed.csv; Figure_2/dx_primary_training_malignant_frozen_transfer.h5ad	Figure_3/inputs/gse235063_longitudinal_malignant_projected.h5ad; Figure_3/derived/longitudinal_frozen_sample_scores.csv	Core Figure 3 projection	final	Projected 26 DX, 2 EOI/REM, and 24 REL samples.
15	Figure 3	02a_inspect_step2.py	GSE235063	Projection QC	Figure_3/inputs/gse235063_longitudinal_malignant_projected.h5ad; Figure_3/derived/longitudinal_frozen_sample_scores.csv		Diagnostic support	diagnostic	52 samples scored with zero missingness in key projected columns; AML21 is the clean DX→EOI/REM→REL case; AML1_REM remains exploratory; AML7_DX retained in object but excluded from centroid analysis.
